pola;arti;文型;desc1;desc2;desc3;contohJP1;contohID1;contohJP2;contohID2;contohJP3;contohID3;第～週;～日目;Hari ke-;
～としたら;kalau, seandainya;K. Kerja/K. Sifat-i (biasa) としたら / K. Sifat-na だ としたら / K. Benda だ としたら ※とすれば;biasa digunakan dalam kalimat pengandaian;;;その話が本当だとしたら、うれしいです。;seandainya cerita itu benar, saya senang;飛行機で行くとしたら、いくらぐらいかかりますか。;kalau pergi menggunakan pesawat, butuh biaya berapa?;;3;2;14;
～つもりだった;tadinya..., tapi;K. Kerja ～る / K. Kerja ～ない つもりだった;menyatakan rencana atau niat yang tidak terlaksana;;;昨日は買い物に行くつもりでしたが、頭が痛かったのでずっと家にいました。;kemarin saya bermaksud belanja, tapi karena sakit kepala, saya di rumah saja (terus seharian);お菓子を食べないつもりでしたが、つい食べてしまいました。;saya tidak bermaksud makan kue, tapi (entah kenapa) saya memakannya;;3;3;15;
～はず;seharusnya;K. Kerja/K. Sifat-i (biasa) はず / K. Sifat-na な はず / K. Benda の はず ※～はずがない (tidak mungkin);digunakan ketika pembicara merasa yakin akan suatu hal;;;田中さんは今旅行中だから、家にいないはず。;karena tanaka-san sekarang sedang pergi berwisata, seharusnya tidak di rumah;まじめな田中さんが、無断で休むはずがない。;orang yang rajin (seperti) tanaka-san tidak mungkin tidak masuk tanpa izin;;3;3;15;
～べき;seharusnya (nasehat/saran);K. Kerja る べきだ / べきではない ※するべき → すべき;mengungkapkan keharusan yang berupa nasehat, saran, pendapat atau hal-hal yang bersifat umum;;;約束は守るべきだ。;janj itu seharusnya ditepati (harus ditepati);おもちゃは、まず安全であるべきだ。;mainan anak-anak itu pertama harus aman (seharusnya mempertimbangkan aspek keamanan dulu);仕事がおもしろくないのなら、続けるべきではないと思う。;kalau pekerjaan (kamu) tidak menarik, menurut saya tidak seharusnya dilanjutkan;3;3;15;
～たものだ;dulu biasanya...;K. Kerja ～た / K. Kerja ～なかった ものだ (もんだ);menyatakan kenangan atau ingatan di masa lalu (sambil mengingat masa-masa itu);;;子どものころはよく川で遊んだものだ。;sewaktu kecil saya sering bermain di sungai;学生時代は毎日図書館へ通ったものだ。;di zaman masih mahasiswa setiap hari saya ke perpustakaan;昔はよく、兄と兄弟喧嘩をしたものだ。;dulu saya sering bertengkar dengan kakak;3;3;15;
～ついでに;sekalian;K. Kerja ～る / K. Kerja ～た / K. Benda の ついでに;kalimat setelahnya biasanya merupakan hal yang bersifat ringan;;;散歩のついでに、この手紙を出してきてくれませんか。;sekalian jalan-jalan, boleh tolong kirimkan surat ini;郵便局へ行ったついでに、はがきを買ってきた。;sekalian pergi ke kantor pos, saya beli kartu pos;;3;4;16;
～たびに;setiap kali... selalu;K. Kerja ～る / K. Kerja ～る。その / K. Benda の たびに (たび) ※たびには ✗;biasanya tidak digunakan untuk kebiasaan atau hal yang lumrah terjadi; biasanya tidak diikuti kalimat negatif;;;買い物のたびに、袋をたくさんもらう。;setiap kali belanja saya mendapat banyak kantong;この曲を聞くたびに、ふるさとを思い出す。;setiap kali mendengar lagu ini, mengingatkan saya akan kampung halaman;;3;4;16;
～たとたん;begitu... langsung, segera;K. Kerja ～た とたん/とたんに / K. Kerja ～た。そのとたん;kalimat setelahnya tidak berbentuk "keinginan" (termasuk perintah); kalimat setelahnya mengandung unsur diluar dugaan;;;窓を開けたとたん、強い風が入ってきた。;begitu buka jendela, angin kencang masuk;お酒を飲んだとたん、顔が赤くなった。;begitu minum sake, muka saya menjadi merah;家を出たとたん、雨が降ってきた。;begitu keluar rumah, hujan (mulai) turun;3;4;16;
～最中に;ditengah-tengah sedang...;K. Kerja ～ている / K. Benda の 最中に;digunakan untuk menyatakan suatu hal yang terjadi di tengah-tengah kegiatan;;;食事の最中に、お客さんが来た。;di tengah-tengah sedang makan, ada tamu datang;彼はよく会議の最中に居眠りをする。;dia sering tidur di tengah-tengah rapat;会議をしている最中に、携帯電話が鳴った。;disaat sedang rapat, HP berbunyi;3;4;16;
～とおり;sesuai dengan...;K. Kerja ～る / K. Kerja ～た / K. Benda の / K. Benda どおり とおり;menyatakan bahwa sesuatu dilakukan/terjadi sesuai dengan standar/acuan tertentu;;;先生が言ったとおり、試験は難しかった。;sesuai dengan yang sensei katakan, ujiannya susah;友達がかいてくれた地図のとおりに来たが、道に迷った。;saya datang sesuai dengan map yang digambarkan oleh teman, tapi saya nyasar;雪が降ってきた。予報どおりだ。;saljunya mulai turun. sesuai dengan ramalan;3;5;17;
